ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000701.SZ,000701,000701,厦门信达,主板,深市,主板,801880.SI,汽车,801092.SI,汽车服务,汽车服务,L,19970226,10761,29.46,5.09,0.0,12.5,False,True,True,0,0,0,0,True,
000757.SZ,000757,000757,浩物股份,主板,深市,主板,801880.SI,汽车,801092.SI,汽车服务,汽车服务,L,19970627,10640,29.13,4.27,-1.613,21.053,False,True,True,0,0,0,0,True,
300825.SZ,300825,300825,阿尔特,创业板,深市,创业板,801880.SI,汽车,801092.SI,汽车服务,汽车服务,L,20200327,2331,6.38,10.93,-0.996,10.811,False,True,True,0,0,0,0,True,
301215.SZ,301215,301215,中汽股份,创业板,深市,创业板,801880.SI,汽车,801092.SI,汽车服务,汽车服务,L,20220308,1620,4.44,5.15,-0.962,24.074,False,True,True,0,0,0,0,True,
600335.SH,600335,600335,国机汽车,主板,沪市,主板,801880.SI,汽车,801092.SI,汽车服务,汽车服务,L,20010305,9293,25.44,5.04,0.0,26.923,False,True,True,0,0,0,0,True,
600386.SH,600386,600386,北巴传媒,主板,沪市,主板,801880.SI,汽车,801092.SI,汽车服务,汽车服务,L,20010216,9310,25.49,3.37,-0.882,30.303,False,True,True,0,0,0,0,True,
600653.SH,600653,600653,申华控股,主板,沪市,主板,801880.SI,汽车,801092.SI,汽车服务,汽车服务,L,19901219,13022,35.65,1.69,-1.17,17.647,False,True,True,0,0,0,0,True,
600676.SH,600676,600676,久事动娱,主板,沪市,主板,801880.SI,汽车,801092.SI,汽车服务,汽车服务,L,19930928,12008,32.88,6.72,-0.885,15.942,False,True,True,0,0,0,0,True,
600822.SH,600822,600822,上海物贸,主板,沪市,主板,801880.SI,汽车,801092.SI,汽车服务,汽车服务,L,19940204,11879,32.52,8.44,-0.589,30.233,False,True,True,0,0,0,0,True,
601965.SH,601965,601965,中国汽研,主板,沪市,主板,801880.SI,汽车,801092.SI,汽车服务,汽车服务,L,20120611,5177,14.17,13.84,-0.288,32.394,False,True,True,0,0,0,0,True,
920030.BJ,920030,920030,德众汽车,北交所,北交所,北交所,801880.SI,汽车,801092.SI,汽车服务,汽车服务,L,20201127,2086,5.71,4.42,-2.428,11.364,False,True,True,0,0,0,0,True,
