ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
000420.SZ,000420,000420,吉林化纤,主板,深市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,19960802,10981,30.06,3.76,1.622,13.514,False,True,True,0,0,0,0,True,
000782.SZ,000782,000782,恒申新材,主板,深市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,19970619,10660,29.19,7.91,0.381,14.286,False,True,True,0,0,0,0,True,
000936.SZ,000936,000936,华西股份,主板,深市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,19990810,9878,27.04,5.63,0.0,23.214,False,True,True,0,0,0,0,True,
000949.SZ,000949,000949,新乡化纤,主板,深市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,19991021,9806,26.85,7.06,0.284,18.462,False,True,True,0,0,0,0,True,
002064.SZ,002064,002064,华峰化学,主板,深市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20060823,7308,20.01,11.12,-0.714,15.596,False,True,True,0,0,0,0,True,
002206.SZ,002206,002206,海利得,主板,深市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20080123,6790,18.59,5.27,0.573,11.321,False,True,True,0,0,0,0,True,
002254.SZ,002254,002254,泰和新材,主板,深市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20080625,6636,18.17,12.28,0.245,17.742,False,True,True,0,0,0,0,True,
002427.SZ,002427,002427,尤夫股份,主板,深市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20100608,5923,16.22,4.81,5.947,13.333,False,True,True,0,0,0,0,True,
002998.SZ,002998,002998,优彩资源,主板,深市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20200925,2161,5.92,8.1,1.25,10.127,False,True,True,0,0,0,0,True,
300876.SZ,300876,300876,蒙泰高新,创业板,深市,创业板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20200824,2193,6.0,15.58,0.257,14.474,False,True,True,0,0,0,0,True,
300905.SZ,300905,300905,宝丽迪,创业板,深市,创业板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20201105,2120,5.8,35.05,-1.407,11.842,False,True,True,0,0,0,0,True,
301057.SZ,301057,301057,汇隆新材,创业板,深市,创业板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20210909,1812,4.96,22.42,0.0,13.208,False,True,True,0,0,0,0,True,
600063.SH,600063,600063,皖维高新,主板,沪市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,19970528,10682,29.25,5.74,1.056,11.864,False,True,True,0,0,0,0,True,
600810.SH,600810,600810,神马股份,主板,沪市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,19940106,11920,32.64,6.45,1.735,14.286,False,True,True,0,0,0,0,True,
601113.SH,601113,601113,华鼎股份,主板,沪市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20110509,5588,15.3,3.49,0.576,35.294,False,True,True,0,0,0,0,True,
603073.SH,603073,603073,彩蝶实业,主板,沪市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20230316,1259,3.45,16.8,0.298,10.976,False,True,True,0,0,0,0,True,
603225.SH,603225,603225,新凤鸣,主板,沪市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20170418,3417,9.36,18.8,-1.0,17.368,False,True,True,0,0,0,0,True,
603332.SH,603332,603332,苏州龙杰,主板,沪市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20190117,2778,7.61,11.71,1.123,13.761,False,True,True,0,0,0,0,True,
605166.SH,605166,605166,聚合顺,主板,沪市,主板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20200618,2260,6.19,8.39,0.841,23.529,False,True,True,0,0,0,0,True,
688295.SH,688295,688295,中复神鹰,科创板,沪市,科创板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20220406,1603,4.39,38.31,1.322,39.837,False,True,True,0,0,0,0,True,
688722.SH,688722,688722,同益中,科创板,沪市,科创板,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20211019,1772,4.85,13.65,0.0,23.611,False,True,True,0,0,0,0,True,
920077.BJ,920077,920077,吉林碳谷,北交所,北交所,北交所,801030.SI,基础化工,801032.SI,化学纤维,化学纤维,L,20210831,1821,4.99,13.65,0.738,27.027,False,True,True,0,0,0,0,True,
