ts_code,symbol,display_code,name,board,exchange,market_raw,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l2_display,list_status,list_date,list_age_days,list_age_years,close,pct_chg,chip_concentration_70,is_st,is_normal_listed,has_latest_quote,suspend_days_20,suspend_days_40,suspend_days_60,suspend_days_90,default_passed,default_reject_reasons
600000.SH,600000,600000,浦发银行,主板,沪市,主板,801780.SI,银行,801783.SI,股份制银行Ⅱ,股份制银行Ⅱ,L,19991110,9778,26.77,8.97,-0.774,41.584,False,True,True,0,0,0,0,True,
600004.SH,600004,600004,白云机场,主板,沪市,主板,801170.SI,交通运输,801991.SI,航空机场,航空机场,L,20030428,8513,23.31,7.42,-0.403,21.429,False,True,True,0,0,0,0,True,
600006.SH,600006,600006,东风股份,主板,沪市,主板,801880.SI,汽车,801096.SI,商用车,商用车,L,19990727,9884,27.06,5.33,-0.929,28.07,False,True,True,0,0,0,0,True,
600007.SH,600007,600007,中国国贸,主板,沪市,主板,801180.SI,房地产,801181.SI,房地产开发,房地产开发,L,19990312,10021,27.44,18.53,-0.803,14.062,False,True,True,0,0,0,0,True,
600008.SH,600008,600008,首创环保,主板,沪市,主板,801970.SI,环保,801971.SI,环境治理,环境治理,L,20000427,9609,26.31,2.81,-0.355,6.897,False,True,True,0,0,0,0,True,
600009.SH,600009,600009,上海机场,主板,沪市,主板,801170.SI,交通运输,801991.SI,航空机场,航空机场,L,19980218,10408,28.5,23.0,-0.303,35.484,False,True,True,0,0,0,0,True,
600010.SH,600010,600010,包钢股份,主板,沪市,主板,801040.SI,钢铁,801044.SI,普钢,普钢,L,20010309,9293,25.44,2.22,-0.448,18.182,False,True,True,0,0,0,0,True,
600011.SH,600011,600011,华能国际,主板,沪市,主板,801160.SI,公用事业,801161.SI,电力,电力,L,20011206,9021,24.7,6.89,0.0,12.676,False,True,True,0,0,0,0,True,
600012.SH,600012,600012,皖通高速,主板,沪市,主板,801170.SI,交通运输,801179.SI,铁路公路,铁路公路,L,20030107,8624,23.61,15.84,-0.502,21.557,False,True,True,0,0,0,0,True,
600015.SH,600015,600015,华夏银行,主板,沪市,主板,801780.SI,银行,801783.SI,股份制银行Ⅱ,股份制银行Ⅱ,L,20030912,8376,22.93,6.59,0.0,10.769,False,True,True,0,0,0,0,True,
600016.SH,600016,600016,民生银行,主板,沪市,主板,801780.SI,银行,801783.SI,股份制银行Ⅱ,股份制银行Ⅱ,L,20001219,9373,25.66,3.39,-0.587,11.429,False,True,True,0,0,0,0,True,
600017.SH,600017,600017,日照港,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20061017,7245,19.84,2.67,0.0,14.815,False,True,True,0,0,0,0,True,
600018.SH,600018,600018,上港集团,主板,沪市,主板,801170.SI,交通运输,801992.SI,航运港口,航运港口,L,20061026,7236,19.81,5.11,0.393,16.0,False,True,True,0,0,0,0,True,
600019.SH,600019,600019,宝钢股份,主板,沪市,主板,801040.SI,钢铁,801044.SI,普钢,普钢,L,20001212,9380,25.68,5.84,1.742,23.333,False,True,True,0,0,0,0,True,
600020.SH,600020,600020,中原高速,主板,沪市,主板,801170.SI,交通运输,801179.SI,铁路公路,铁路公路,L,20030808,8411,23.03,3.74,-0.267,10.526,False,True,True,0,0,0,0,True,
600021.SH,600021,600021,上海电力,主板,沪市,主板,801160.SI,公用事业,801161.SI,电力,电力,L,20031029,8329,22.8,13.97,-1.132,20.408,False,True,True,0,0,0,0,True,
